EventName,캐릭터/아이템 이름,대사,선택지
전력 공급 장치,로봇,전선에 전기가 흐르고 있어. 방금 전에 친 벼락의 영향인 것 같아.,
,,내가 갑자기 작동하기 시작한 것도 아마 방금 전의 벼락 때문이겠지.\n…이 주변에 나처럼 작동을 시작하게 된 다른 로봇은 없는 걸까?,
end,,,
,,,
공구들이 놓인 선반,.,평범한 철제 선반.\n공구들이 많이 놓여있지만@ 전부 녹슬어서 쓸모는 없어 보인다.,
end,,,
,,,
탁자,.,평범한 플라스틱 탁자.,
end,,,
,,,
안젤라의 개발 일지1,로봇,"""개발 일지""라는 제목의 낡은 종이 노트야. 작성자는 '안젤라'라는 사람인 것 같아.",
,,곰팡이 때문에 읽을 수 있는 부분이 많아 보이진 않지만…\n어쩌면 여기에 나에 대한 내용이 적혀 있을지도 몰라.,
,,"…...\n“360915 개발 일지. 혼자서 로봇을 만드는 건 쉬운 작업이 아니었다. 하지만 ■■■■■를 만들어 주겠다는 생각으로 여기까지 ■■■■.",
,,이제 남은 작업은 <감정 시스템>을 손 봐서 설치하는 것만 남은 상태이다.,
,,요새야 AI들도 다들 감정이 있다지만@ 그래도 이 로봇은 희로애락■■■■■ 정말 사람처럼 감정을 느낄 수 있도록 ■■ ■■ 목표로 하고 있다.,
,,"앞으로 서너 달 후면 완성품을 가동할 수 있을 것으로 보인다.""",
,,…...\n“361208 개발 일지. 드디어 감정 시스템의 ■■■ 끝이 났다. 기존 계획보다 조금 빨리 진행시켰다.,
,,이제 소프트웨어 설치 후에 잘 작동하는지만 확인하면 끝. 다만 한 가지 마음에 걸리는 건 ■■■■■ 외에도 사람의 ■■■ 닮게 설계한 부분인데@,
,,"이 부분은 로봇을 가동시킨 후에 추가로 실제 ■■■■ ■■■■■ 그 영향력을 관찰하며 조절할 필요가 있을 것으로 보인다.""",
,,…여기서부터 내용이 끊겨있어.,
,,<감정 시스템>이라고…?,
,,감정 시스템의 소프트웨어 설치만 하면 끝이라고 적혀있는데... 설마 이 후로 개발을 멈춘 건가?,데이터 검색하기
end,,,
,,,
안젤라의 개발 일지2,.,SYSTEM: 데이터 검사 시작. ‘감정 시스템’ 검색 중…,
,,......\n…,
,,검색 결과. 해당 사항 없음. 업데이트가 필요한 항목입니다.,
,로봇,…...\n어째서 마지막 단계에서 개발을 중단한 거지?,안젤라가 개발을 중도포기한 것 같다/안젤라에게 무슨 일이 생긴 것 같다
end,,,
,,,
안젤라의 개발 일지3,로봇,어쩌면 마음이 바뀐 걸지도 몰라. 갑자기 개발을 멈출만한 무언가의 계기가 있었다거나.,
,,...어쨌든 미완성된 부분을 채우려면 안젤라를 찾으러 가는 수밖에 없어.,
,,안젤라를 만나면@ 나도 다른 로봇들처럼 <감정 시스템>을 지닌 로봇이 될 수 있을 거야.,
end,,,
,,,
안젤라의 개발 일지4,로봇,오랜 기간 공들여서 진행해 온 개발을 포기했을 리가 없어. 안젤라에게 무슨 일이 생긴 게 분명해.,
,,...어쨌든 미완성된 부분을 채우려면 안젤라를 찾으러 가는 수밖에 없어.,
,,안젤라를 만나면@ 나도 다른 로봇들처럼 <감정 시스템>을 지닌 로봇이 될 수 있을 거야.,
end,,,
,,,
액자,로봇,두 명의 사람이 찍힌 사진이 담긴 액자야.,
,,이건 마치… 엄마와 아들처럼 보이는데. 창고 주인의 물건인가?,
end,,,
,,,
낡은 컴퓨터,.,낡은 컴퓨터. 더 이상 작동하지 않는 것 같다.,
end,,,
,,,
낡은 난로,.,낡은 난로. 먼지가 두텁게 쌓여 있다.,
end,,,
,,,
창문,.,천둥번개를 동반한 폭우가 쏟아지고 있다.,
,로봇,비 때문에 아무것도 보이지 않아... 자세한 상황은 밖으로 나가야 알 수 있을 것 같아.,
end,,,
,,,
창고 못 나감,로봇,아직 좀 더 창고 안을 살펴볼 수 있을 것 같아.,
end,,,
,,,
창고 나가기,.,창고 밖으로 나갈까?,응/아니
end,,,
,,,
창고를 나서다,로봇,이 창고는 사람의 손길이 끊긴지 오래된 것 같은데… 주위에 다른 사람들은 없는 걸까?,
,,일단 밖으로 나가서 안젤라가 어디에 있는지 단서를 찾아야겠어.,
end,,,
