EventName,캐릭터/아이템 이름,대사,선택지
심장 건네주기,로봇,…거기 있어?,
,거대한 기계,어@ 생각보다 빨리 왔네.,
,,부탁한 건 벌써 찾은 거야?,
,로봇,응. 여기@ 인공 심장이야.,
,거대한 기계,심장이라… 나쁘지 않네.,
,,안 그래도 피를 많이 흘려서 마침 필요했던 참이었거든.,
,,그건 아까 전에 일지 넣어뒀던 곳에 똑같이 넣어 둬.,
,로봇,알겠어.\n감정 시스템의 진행 상황은 어때?,
,거대한 기계,예상대로야. 문제 없어.,
,,네 오른쪽에 있는 커다란 컴퓨터 보여?,
,,네가 나가 있는 동안@ 그 컴퓨터에 특정 문구를 입력하면 감정 소프트웨어 설치가 진행되도록 변경시켜뒀어.,
,,암호는 개발 일지에 적혀 있던 네 시리얼 번호로.,
,,설마 본인 제품명도 까먹은 건 아니지? E 311-y호.,
,로봇,그 정도는 기억하고 있어.,
,거대한 기계,아~ 그래. 그것 참 다행이네.,
,로봇,……,
,거대한 기계,……,
,,아직도 말할 게 남았어? 더 할 얘기 없으면 이제 그만 가져온 것 좀 주지 그래.,
,로봇,…알겠어.,
,.,인공 심장을 건네줄까?,응
end,,,
,,,
기쁨 감정 받기 암호,슈퍼 컴퓨터,SYSTEM: 암호를 입력하세요_,
end,,,
,,,
암호 틀림,슈퍼 컴퓨터,암호가 일치하지 않습니다. 다시 시도해 주세요.,
end,,,
,,,
기쁨 감정 받기,슈퍼 컴퓨터,본인 확인 완료.,
,,감정 소프트웨어 다운로드를 진행하시겠습니까?,예/아니오
end,,,
,,,
기쁨 감정 받기 완료,슈퍼 컴퓨터,[감정: 기쁨] 소프트웨어 다운로드를 시작합니다.,
,,다운로드 진행 중… 0%,
,,다운로드 진행 중… 30%,
,,다운로드 진행 중… 50%,
,,다운로드 진행 중… 70%,
,,다운로드 진행 중… 90%,
,,다운로드 완료. 발생한 오류 없음.,
,.,기쁨의 감정을 느낄 수 있게 되었다!,
end,,,
,,,
잊은 것,거대한 기계,진짜 그대로 나가려고?,
,,뭐 잊어버린 거 없어? 기껏 준비해 뒀는데.,
end,,,
,,,
노아 대화 1,로봇,…저기.,
,거대한 기계,……,
,로봇,물어보고 싶은 게 있어.,
,거대한 기계,우리가 언제부터 잡담이나 나눌만큼 그렇게 친근한 사이였던가?,
,로봇,……,안젤라에 대해서/이 지하실에 대해서/지금 바깥의 상황에 대해서/아무것도 아니야
end,,,
노아 대화 1.5,거대한 기계,하아… 또 뭔데.,
,로봇,……,안젤라에 대해서/이 지하실에 대해서/지금 바깥의 상황에 대해서/아무것도 아니야
end,,,
,,,
노아 대화 2,로봇,혹시 안젤라 박사에 대해서 아는 건 없어?,
,거대한 기계,……글쎄.,
,,나는 처음 들어보는 이름이라. 딱히 말해줄 게 없네.,
,로봇,그래… 알겠어.,
end,,,
,,,
노아 대화 3,로봇,이 지하실은 뭐하는 곳이야?,
,거대한 기계,뭐@ 대충 병원같은 곳이지.,
,,나도 정확히는 몰라.\n그래도 수술대나 이상하게 생긴 기계들 같은 걸 보면 대충 짐작은 가잖아?,
,로봇,……,
,,(어째서 이런 지하에 병원을 짓게 된 거지…?),
end,,,
,,,
노아 대화 4,로봇,사실 지금까지 여기로 오면서 사람을 한 명도 마주치지 못 했어.,
,,너 말고는 사람이 한 명도 없는 건 아무래도 이상해. 혹시 바깥의 상황이 어떤지에 대해 알고 있는 게 있어?,
,거대한 기계,……왠지 그럴 거라고는 생각했어.,
,,밖에 사람이 있었다면@ 너보다 먼저 여기로 찾아 왔겠지.,
,,근데 나라고 뭘 더 알겠어? 보다시피 난 이 바보같이 커다란 기계 안에 갇힌 신세라고.,
,,바깥 상황이라면@ 자유롭게 돌아다닐 수 있는 네가 더 잘 아는 게 당연한 거 아니야?,
,로봇,…그것도 그렇겠네.,
,거대한 기계,…뭐@ 나도 바깥 상황은 궁금하긴 하니까…,
,,부품들을 가져오는 김에 주변에 대한 소식이나 정보들도 같이 가져오면 좋고.,
,로봇,알겠어. 유용한 내용이 있으면 전달하도록 할게.,
end,,,
,,,
노아 대화 5,거대한 기계,뭐야… 싱겁긴.,
,,볼 일 없으면 괜히 어슬렁대지 말고 얼른 나가보지 그래?,
end,,,
